"","pid","yearbuilt"
"941","104242","1900"
"942","104243","1900"
"943","104244","1900"
"944","104245","1900"
"945","104246","1900"
"946","104247","1900"
"947","104248","1900"
"948","104249","1900"
"949","10425","1890"
"950","104250","1900"
"951","104251","1900"
"952","104252","1900"
"953","104253","1900"
"954","104254","1900"
"955","10426","1890"
"956","10427","1900"
"957","10428","1900"
"958","104280","2002"
"959","10429","1900"
"960","1043","1930"
"961","10430","1900"
"962","104300","1980"
"963","10431","1900"
"964","10432","1900"
"965","104320","1900"
"966","10433","1900"
"967","10434","1900"
"968","104340","2013"
"969","10435","1900"
"970","10436","1900"
"971","10437","1900"
"972","10438","1900"
"973","104380",""
"974","104382","2006"
"975","10439","1900"
"976","1044","1950"
"977","10440","1900"
"978","10441","1900"
"979","10442","1921"
"980","104421","2006"
"981","104422","2006"
"982","104423","2006"
"983","10443","1888"
"984","10444","1920"
"985","10445","1900"
"986","10446","1900"
"987","10447","1900"
"988","10448","1900"
"989","104480","2005"
"990","10449","1900"
"991","1045","1958"
"992","10450","1900"
"993","104500","2006"
"994","10451","1900"
"995","10452",""
"996","104520",""
"997","10453","1900"
"998","10454","1900"
"999","104540",""
"1000","10455","1900"
"1001","10456","1900"
"1002","104560","2007"
"1003","10457","1900"
"1004","10458","1900"
"1005","104580","1958"
"1006","10459","1900"
"1007","1046","1910"
"1008","10460","1900"
"1009","104601","1900"
"1010","104602","1987"
"1011","10461","1900"
"1012","10462","1900"
"1013","104622",""
"1014","104623","1900"
"1015","10463","1900"
"1016","10464","1907"
"1017","10465","1900"
"1018","10466","1907"
"1019","104662","1938"
"1020","10467","1900"
"1021","10468","1900"
"1022","104683","2008"
"1023","10469","1900"
"1024","1047","1930"
"1025","10470","1900"
"1026","104703","2006"
"1027","104704","2006"
"1028","104705","2006"
"1029","104706","2006"
"1030","104707","2006"
"1031","104708","2006"
"1032","104709","2006"
"1033","10471","1900"
"1034","104710","2006"
"1035","104711","2006"
"1036","104712","2006"
"1037","104713","2007"
"1038","10472","1900"
"1039","104722","2007"
"1040","10473","1900"
"1041","10474","1900"
"1042","104742","1974"
"1043","10475","1910"
"1044","10476","1900"
"1045","104765","1900"
"1046","104766","1900"
"1047","104767","1900"
"1048","10477","1900"
"1049","10478","1900"
"1050","104782","1968"
"1051","10479","1900"
"1052","1048","1900"
"1053","10480","1900"
"1054","10481","1910"
"1055","10482","2015"
"1056","104842","1900"
"1057","104843","1900"
"1058","104845","1900"
"1059","10485","1900"
"1060","10486","1900"
"1061","104862","1900"
"1062","10487","1900"
"1063","10488","1900"
"1064","104882","1900"
"1065","104883","1900"
"1066","104885","1900"
"1067","104886","1900"
"1068","104889","1909"
"1069","10489","1900"
"1070","104890","1909"
"1071","104891","1909"
"1072","104892","1909"
"1073","104894","1900"
"1074","104895","1900"
"1075","104896","1900"
"1076","1049","1930"
"1077","10490","1900"
"1078","104902","1957"
"1079","10491","1900"
"1080","10492","1900"
"1081","10493","1894"
"1082","10494","1888"
"1083","104944","1915"
"1084","104946","1915"
"1085","104947","1915"
"1086","104949","1900"
"1087","10495","1900"
"1088","104950","1900"
"1089","104951","1900"
"1090","104952","1900"
"1091","104953","1900"
"1092","104954","1900"
"1093","104963","1950"
"1094","104964","1950"
"1095","104965","1950"
"1096","104966","1950"
"1097","104967","1950"
"1098","104972","1950"
"1099","104979","1900"
"1100","10498","1900"
"1101","104982","1900"
"1102","104983","1900"
"1103","104984","1900"
"1104","104985","1900"
"1105","104986","1900"
"1106","104987","1900"
"1107","104988","1900"
"1108","104989","1900"
"1109","10499","1900"
"1110","104990","1900"
"1111","104991","1900"
"1112","104993","1900"
"1113","104994","1900"
"1114","104995","1900"
"1115","104996","1900"
"1116","104997","1900"
"1117","104998","1900"
"1118","105","1969"
"1119","1050","1915"
"1120","10500",""
"1121","105002","1950"
"1122","10501","1900"
"1123","10502","1900"
"1124","105023","2009"
"1125","10503","1900"
"1126","10504","1900"
"1127","105042",""
