"pid","location","ggmap","census"
298,"100 ELIZABETH ANN DR","cec82","dk762"
299,"104 ELIZABETH ANN DR","cec82","dk762"
300,"110 ELIZABETH ANN DR","cec82","dk762"
301,"118 ELIZABETH ANN DR","cec82","dk762"
302,"124 ELIZABETH ANN DR","cec82","dk762"
303,"132 ELIZABETH ANN DR","cec82","dk762"
304,"138 ELIZABETH ANN DR","cec82","dk762"
305,"146 ELIZABETH ANN DR","cec82","dk762"
306,"5 MASSACHUSETTS AV","cec82","dk762"
307,"11 MASSACHUSETTS AV","cec82","dk762"
308,"MASSACHUSETTS AV","cec82","dk762"
309,"75 ELIZABETH ANN DR","cec82","dk762"
310,"55 ELIZABETH ANN DR","cec82","dk762"
311,"49 ELIZABETH ANN DR","cec82","dk762"
312,"41 ELIZABETH ANN DR","cec82","dk762"
313,"35 ELIZABETH ANN DR","cec82","dk762"
314,"29 ELIZABETH ANN DR","cec82","dk762"
315,"21 ELIZABETH ANN DR","cec82","dk762"
316,"15 ELIZABETH ANN DR","cec82","dk762"
317,"7 ELIZABETH ANN DR","cec82","dk762"
318,"CLARENDON ST","cec82","dk762"
319,"147 ELIZABETH ANN DR","cec82","dk762"
320,"141 ELIZABETH ANN DR","cec82","dk762"
321,"131 ELIZABETH ANN DR","cec82","dk762"
322,"125 ELIZABETH ANN DR","cec82","dk762"
323,"117 ELIZABETH ANN DR","cec82","dk762"
324,"103 ELIZABETH ANN DR","cec82","dk762"
325,"109 ELIZABETH ANN DR","cec82","dk762"
326,"83 ELIZABETH ANN DR","cec82","dk762"
327,"53 HUNTINGTON RD","cec82","dk762"
328,"41 HUNTINGTON RD","cec82","dk762"
329,"37 HUNTINGTON RD","cec82","dk762"
330,"29 HUNTINGTON RD","cec82","dk762"
331,"23 HUNTINGTON RD","cec82","dk762"
333,"87 CLARENDON ST","cec82","dk762"
334,"95 CLARENDON ST","cec82","dk762"
335,"105 CLARENDON ST","cec82","dk762"
336,"8 ELIZABETH ANN DR","cec82","dk762"
337,"18 ELIZABETH ANN DR","cec82","dk762"
338,"28 ELIZABETH ANN DR","cec82","dk762"
339,"32 ELIZABETH ANN DR","cec82","dk762"
340,"821 TOWNSEND AV","cec82","dk762"
341,"29 SOUND VIEW TER","cec82","dk762"
342,"39 SOUND VIEW TER","cec82","dk762"
343,"49 SOUND VIEW TER","cec82","dk762"
344,"59 SOUND VIEW TER","cec82","dk762"
345,"75 SOUND VIEW TER","cec82","dk762"
346,"85 SOUND VIEW TER","cec82","dk762"
347,"95 SOUND VIEW TER","cec82","dk762"
348,"105 SOUND VIEW TER","cec82","dk762"
349,"115 SOUND VIEW TER","cec82","dk762"
350,"125 SOUND VIEW TER","cec82","dk762"
351,"135 SOUND VIEW TER","cec82","dk762"
352,"145 SOUND VIEW TER","cec82","dk762"
353,"4 HORSLEY AV","cec82","dk762"
354,"2 HORSLEY AV","cec82","dk762"
355,"HORSLEY AV","cec82","dk762"
356,"TUTTLE DR","cec82","dk762"
357,"174 TUTTLE DR","cec82","dk762"
358,"168 TUTTLE DR","cec82","dk762"
359,"160 TUTTLE DR","cec82","dk762"
360,"150 TUTTLE DR","cec82","dk762"
361,"144 TUTTLE DR","cec82","dk762"
362,"136 TUTTLE DR","cec82","dk762"
363,"128 TUTTLE DR","cec82","dk762"
364,"120 TUTTLE DR","cec82","dk762"
365,"112 TUTTLE DR","cec82","dk762"
366,"104 TUTTLE DR","cec82","dk762"
367,"785 TOWNSEND AV","cec82","dk762"
368,"795 TOWNSEND AV","cec82","dk762"
369,"801 TOWNSEND AV","cec82","dk762"
370,"TOWNSEND AV","cec82","dk762"
371,"809 TOWNSEND AV","cec82","dk762"
372,"91 HORSLEY AV","cec82","dk762"
373,"265 UPSON TER","cec82","dk762"
374,"285 UPSON TER","cec82","dk762"
375,"40 HOPKINS DR","cec82","dk762"
376,"30 HOPKINS DR","cec82","dk762"
377,"22 HOPKINS DR","cec82","dk762"
378,"14 HOPKINS DR","cec82","dk762"
379,"8 HOPKINS DR","cec82","dk762"
380,"4 HOPKINS DR","cec82","dk762"
381,"HORSLEY AV","cec82","dk762"
382,"1 HORSLEY AV","cec82","dk762"
383,"5 HORSLEY AV","cec82","dk762"
384,"11 HORSLEY AV","cec82","dk762"
385,"35 HORSLEY AV","cec82","dk762"
386,"45 HORSLEY AV","cec82","dk762"
387,"61 HORSLEY AV","cec82","dk762"
388,"75 HORSLEY AV","cec82","dk762"
389,"305 UPSON TER","cec82","dk762"
390,"335 UPSON TER","cec82","dk762"
391,"112 HUNTINGTON RD","cec82","dk762"
392,"120 HUNTINGTON RD","cec82","dk762"
393,"128 HUNTINGTON RD","cec82","dk762"
394,"136 HUNTINGTON RD","cec82","dk762"
395,"144 HUNTINGTON RD","cec82","dk762"
396,"150 HUNTINGTON RD","cec82","dk762"
397,"160 HUNTINGTON RD","cec82","dk762"
398,"HOPKINS DR","cec82","dk762"
399,"3 HOPKINS DR","cec82","dk762"
400,"5 HOPKINS DR","cec82","dk762"
401,"15 HOPKINS DR","cec82","dk762"
402,"19 HOPKINS DR","cec82","dk762"
403,"25 HOPKINS DR","cec82","dk762"
404,"39 HOPKINS DR","cec82","dk762"
405,"873 TOWNSEND AV","cec82","dk762"
406,"131 UPSON TER","cec82","dk762"
407,"20 LEROY TER","cec82","dk762"
408,"16 LEROY TER","cec82","dk762"
409,"60 SOUND VIEW TER","cec82","dk762"
410,"44 SOUND VIEW TER","cec82","dk762"
411,"30 SOUND VIEW TER","cec82","dk762"
412,"835 TOWNSEND AV","cec82","dk762"
413,"845 TOWNSEND AV","cec82","dk762"
414,"853 TOWNSEND AV","cec82","dk762"
415,"LEROY TER","cec82","dk762"
416,"155 UPSON TER","cec82","dk762"
417,"165 UPSON TER","cec82","dk762"
418,"175 UPSON TER","cec82","dk762"
419,"185 UPSON TER","cec82","dk762"
420,"195 UPSON TER","cec82","dk762"
421,"205 UPSON TER","cec82","dk762"
422,"215 UPSON TER","cec82","dk762"
423,"140 SOUND VIEW TER","cec82","dk762"
424,"70 HORSLEY AV","cec82","dk762"
425,"136 SOUND VIEW TER","cec82","dk762"
426,"126 SOUND VIEW TER","cec82","dk762"
427,"114 SOUND VIEW TER","cec82","dk762"
428,"104 SOUND VIEW TER","cec82","dk762"
429,"92 SOUND VIEW TER","cec82","dk762"
430,"80 SOUND VIEW TER","cec82","dk762"
431,"15 LEROY TER","cec82","dk762"
432,"773 TOWNSEND AV","cec82","dk762"
433,"105 TUTTLE DR","cec82","dk762"
434,"115 TUTTLE DR","cec82","dk762"
435,"123 TUTTLE DR","cec82","dk762"
436,"129 TUTTLE DR","cec82","dk762"
437,"139 TUTTLE DR","cec82","dk762"
438,"147 TUTTLE DR","cec82","dk762"
439,"155 TUTTLE DR","cec82","dk762"
440,"167 TUTTLE DR","cec82","dk762"
441,"171 TUTTLE DR","cec82","dk762"
442,"110 TOWNSEND TER","cec82","dk762"
443,"102 TOWNSEND TER","cec82","dk762"
444,"96 TOWNSEND TER","cec82","dk762"
445,"90 TOWNSEND TER","cec82","dk762"
446,"84 TOWNSEND TER","cec82","dk762"
447,"80 TOWNSEND TER","cec82","dk762"
448,"72 TOWNSEND TER","cec82","dk762"
449,"66 TOWNSEND TER","cec82","dk762"
450,"60 TOWNSEND TER","cec82","dk762"
451,"52 TOWNSEND TER","cec82","dk762"
452,"46 TOWNSEND TER","cec82","dk762"
453,"38 TOWNSEND TER","cec82","dk762"
454,"30 TOWNSEND TER","cec82","dk762"
455,"22 TOWNSEND TER","cec82","dk762"
456,"663 TOWNSEND AV","cec82","dk762"
457,"701 TOWNSEND AV","cec82","dk762"
458,"TOWNSEND AV","cec82","dk762"
459,"709 TOWNSEND AV","cec82","dk762"
460,"725 TOWNSEND AV","cec82","dk762"
461,"745 TOWNSEND AV","cec82","dk762"
462,"757 TOWNSEND AV","cec82","dk762"
463,"765 TOWNSEND AV","cec82","dk762"
464,"601 TOWNSEND AV","cec82","dk762"
465,"23 HALL ST","cec82","dk762"
466,"27 HALL ST","cec82","dk762"
467,"33 HALL ST","cec82","dk762"
468,"41 HALL ST","cec82","dk762"
469,"47 HALL ST","cec82","dk762"
470,"55 HALL ST","cec82","dk762"
471,"61 HALL ST","cec82","dk762"
472,"65 HALL ST","cec82","dk762"
473,"71 HALL ST","cec82","dk762"
474,"77 HALL ST","cec82","dk762"
475,"83 HALL ST","cec82","dk762"
476,"89 HALL ST","cec82","dk762"
477,"95 HALL ST","cec82","dk762"
478,"103 HALL ST","cec82","dk762"
479,"105 HALL ST","cec82","dk762"
480,"424 FORT HALE RD","cec82","dk762"
481,"408 FORT HALE RD","cec82","dk762"
